category,question,option_a,option_b,option_c,option_d,correct
Language,Sepedi is mainly spoken in which province?,Free State,Limpopo,Northern Cape,Eastern Cape,B
Language,Tshivenda speakers are mostly found in which province?,Mpumalanga,Gauteng,Limpopo,KwaZulu-Natal,C
Language,Xitsonga is the home language of which group?,Basotho,Batswana,Vhavenda,Vatsonga,D
Language,Afrikaans developed mainly from which language?,German,Dutch,French,Portuguese,B
Language,In isiZulu, 'Sawubona' means?,Thank you,Goodbye,Hello,Please,C
Language,In South African slang, a 'braai' is?,A dance,A barbecue,A drink,A festival,B
Language,In Afrikaans slang, 'lekker' means?,Bad,Fast,Tired,Nice/good,D
Language,'Eish' is a common South African expression of?,Joy,Frustration or surprise,Love,Anger,B
Language,'Ubuntu' is a philosophy roughly meaning?,Individual freedom,Wealth,Humanity towards others,Strength,C
Language,Which South African language is known for its click consonants?,Afrikaans,English,isiXhosa,Sepedi,C
Language,'Howzit' is a South African greeting meaning roughly?,Sorry,Goodbye,Thank you,How are you / hello,D
Culture,The Reed Dance is a traditional ceremony most associated with which culture?,Zulu,Tsonga,Venda,Afrikaner,A
Culture,'Shisa nyama' refers to?,A dance style,A place to braai meat,A type of drink,A music genre,B
Culture,The sacred Lake Fundudzi is associated with which group?,Vhavenda,amaZulu,Basotho,amaXhosa,A
Culture,The Zulu dance 'Indlamu' is known for its?,Slow hand movements,High kicks and stomping,Seated singing,Silent performance,B
Culture,Traditional Basotho attire is famous for including a?,Blanket,Kilt,Sarong,Poncho,A
Food,Pap is traditionally made from?,Wheat flour,Rice,Maize meal,Potatoes,C
Food,Bunny chow originated in which city?,Cape Town,Durban,Johannesburg,Gqeberha,B
Food,Biltong is best described as?,Dried cured meat,A type of bread,A soft cheese,A vegetable soup,A
Food,Boerewors is a type of?,Sausage,Bread,Cake,Stew,A
Food,Potjiekos is traditionally cooked in a?,Wok,Clay oven,Cast-iron pot,Pressure cooker,C
Food,Rooibos tea is grown mainly in which province?,Gauteng,Western Cape,Limpopo,KwaZulu-Natal,B
Food,Malva pudding is a traditional South African?,Starter,Dessert,Bread,Cold drink,B
Food,Vetkoek is best described as?,Fried dough bread,A cold drink,A salad,A soup,A
Food,Amarula cream liqueur is made from the fruit of which tree?,Baobab,Mopane,Marula,Mango,C
Food,Chakalaka is typically served as a?,Main course,Dessert,Spicy relish or side dish,Drink,C
Music,What is DJ Maphorisa's real name?,Kabelo Motha,Themba Sekowe,Sandile Msimango,Vusi Nova,B
Music,What is Kabza De Small's real name?,Themba Sekowe,Lucas Radebe,Kabelo Motha,Somizi Mhlongo,C
Music,Miriam Makeba was the first African artist to win a?,Nobel Prize,Grammy Award,Olympic medal,Oscar,B
Music,The Amapiano music genre originated in?,Nigeria,South Africa,Ghana,Kenya,B
Music,Trevor Noah is internationally best known as a?,Singer,Footballer,Comedian and TV host,Politician,C
Music,Trevor Noah hosted which major US late-night show?,The Tonight Show,The Daily Show,Jimmy Kimmel Live,Saturday Night Live,B
Music,Which South African singer won a Grammy for 'Water' in 2024?,Zahara,Nomcebo Zikode,Tyla,Busiswa,C
Music,Ladysmith Black Mambazo is famous for which singing style?,Opera,Isicathamiya (a cappella harmony),Jazz,Rock,B
Music,'Abalele' is a well-known hit by which duo?,Black Coffee and Master KG,DJ Maphorisa and Kabza De Small,Prince Kaybee and Zahara,AKA and Cassper Nyovest,B
Music,Black Coffee is primarily known as a?,Actor,Rugby player,DJ and music producer,Politician,C
Music,'Jerusalema' was a global hit by which South African artist?,Black Coffee,Master KG,Cassper Nyovest,AKA,B
Music,Which South African rapper used the stage name AKA?,Nasty C,Riky Rick,Cassper Nyovest,Kiernan Forbes,D
Music,Gqom music originated primarily from which city?,Durban,Cape Town,Pretoria,Bloemfontein,A
Music,Somizi Mhlongo is best known in South Africa as a?,Media personality and performer,Rugby player,Politician,Scientist,A
Music,Bonang Matheba is popularly known by which nickname?,Queen B,Mama Afrika,Miss SA,The Voice,A
Sport,South Africa's national rugby team is nicknamed?,The Proteas,The Springboks,Bafana Bafana,The Blitzboks,B
Sport,South Africa's national cricket team is nicknamed?,The Springboks,The Proteas,Banyana Banyana,Bafana Bafana,B
Sport,South Africa's men's national soccer team is nicknamed?,Bafana Bafana,Banyana Banyana,The Springboks,The Proteas,A
Sport,South Africa's women's national soccer team is nicknamed?,Bafana Bafana,Banyana Banyana,The Proteas,The Blitzboks,B
Sport,South Africa's national sevens rugby team is nicknamed?,The Springboks,The Cheetahs,The Blitzboks,The Sharks,C
Sport,As of 2024, how many Rugby World Cups has South Africa won?,2,3,4,1,C
Sport,Which South African athlete won Olympic gold in the 800m?,Wayde van Niekerk,Caster Semenya,Akani Simbine,Luvo Manyonga,B
Sport,Which South African set a 400m world record at the Rio 2016 Olympics?,Wayde van Niekerk,Caster Semenya,Oscar Pistorius,Akani Simbine,A
Sport,Which South African golfer won the Masters in 2008?,Gary Player,Ernie Els,Trevor Immelman,Louis Oosthuizen,C
Sport,Gary Player is a South African legend of which sport?,Tennis,Golf,Cricket,Rugby,B
Sport,Lucas Radebe is a South African football legend who played for which English club?,Arsenal,Chelsea,Manchester United,Leeds United,D
Sport,South Africa hosted the FIFA World Cup in which year?,2006,2010,2014,2018,B
Sport,South Africa hosted and won the Rugby World Cup for the first time in?,1992,1995,1999,2003,B
Sport,The Comrades Marathon is run between which two cities?,Johannesburg and Pretoria,Cape Town and Stellenbosch,Durban and Pietermaritzburg,Gqeberha and East London,C
Landmarks,Table Mountain overlooks which city?,Durban,Cape Town,Johannesburg,Gqeberha,B
Landmarks,The Union Buildings are located in?,Cape Town,Bloemfontein,Pretoria,Johannesburg,C
Landmarks,Robben Island lies off the coast of which city?,Durban,Cape Town,Gqeberha,East London,B
Landmarks,The Voortrekker Monument is located in?,Bloemfontein,Kimberley,Pietermaritzburg,Pretoria,D
Landmarks,Moses Mabhida Stadium is located in?,Cape Town,Durban,Johannesburg,Polokwane,B
Landmarks,The Apartheid Museum is located in?,Pretoria,Cape Town,Johannesburg,Durban,C
Landmarks,Which city is nicknamed 'The Jacaranda City'?,Bloemfontein,Kimberley,Pretoria,Nelspruit,C
Landmarks,Soweto is a well-known township near which city?,Durban,Cape Town,Pretoria,Johannesburg,D
Landmarks,The Cradle of Humankind fossil site is near which city?,Bloemfontein,Johannesburg,Polokwane,Durban,B
Landmarks,uShaka Marine World is located in?,Cape Town,Durban,Gqeberha,East London,B
Landmarks,The Drakensberg mountain range lies mainly along South Africa's border with?,Mozambique,Eswatini,Lesotho,Zimbabwe,C
Modern,What is South Africa's currency called?,Pula,Rand,Kwacha,Naira,B
Modern,South Africa is often called the ___ Nation, a phrase coined by Desmond Tutu.,United,Golden,Rainbow,Free,C
Modern,Which South African-made messaging app was huge before WhatsApp took over?,2Go,MXit,WeChat,Vodafone Messenger,B
Modern,The Gautrain rapid rail links Johannesburg with which other city?,Durban,Pretoria,Cape Town,Bloemfontein,B
Modern,South Africa is part of BRICS alongside Brazil Russia India and which other country?,Indonesia,China,Japan,Egypt,B
Modern,South Africa's national flower is the?,Rose,Sunflower,King Protea,Daisy,C
Modern,South Africa's national bird is the?,Ostrich,Blue Crane,Secretary Bird,Fish Eagle,B
